,City,Cloudy,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
30,Rio Grande,40,BR,1567694129,58,-32.03,-52.1,55.4,8.05
31,Rikitea,62,PF,1567694391,86,-23.12,-134.97,70.97,21.59
32,Bluff,0,AU,1567694392,26,-23.58,149.07,61.25,4.9
33,Kilindoni,59,TZ,1567694394,79,-7.91,39.67,78.17,13.85
34,Ciudad Bolivar,5,VE,1567694326,58,8.12,-63.55,90.41,8.3
35,Georgetown,75,GY,1567694396,70,6.8,-58.16,86,13.87
36,Malanje,75,AO,1567694398,74,-9.54,16.35,86,3.36
37,Kaitangata,100,NZ,1567694399,71,-46.28,169.85,46.99,8.99
38,Tuktoyaktuk,20,CA,1567694400,93,69.44,-133.03,39.2,2.24
39,Bredasdorp,90,ZA,1567694402,67,-34.53,20.04,60.01,17.22
40,Alofi,59,NU,1567694403,100,-19.06,-169.92,73.4,9.17
41,North Platte,1,US,1567694404,88,41.12,-100.77,66.2,3.36
42,Codrington,90,AU,1567694406,87,-28.95,153.24,64.4,3.76
43,Wynyard,73,AU,1567694407,75,-40.99,145.73,48,8.99
44,Clyde River,75,CA,1567694408,81,70.47,-68.59,42.8,5.82
45,Irondequoit,40,US,1567694197,68,43.21,-77.58,68,4.7
46,Mataura,100,NZ,1567694411,92,-46.19,168.86,46,3
47,Umm Lajj,0,SA,1567694412,73,25.02,37.27,85.01,11.25
48,Am Timan,49,TD,1567694413,74,11.04,20.28,81.59,3.4
49,Cockburn Town,6,TC,1567694138,79,21.46,-71.14,83.21,14.14
50,Salalah,75,OM,1567694121,88,17.01,54.1,80.6,11.41
51,Morshyn,0,UA,1567694197,33,49.15,23.87,75.2,6.71
52,Zamosc,0,PL,1567694234,40,50.72,23.25,73.4,8.05
53,Leningradskiy,98,RU,1567694420,92,69.38,178.42,39.29,3.47
54,Nikolskoye,40,RU,1567694421,43,59.7,30.79,72,13.42
55,Limin Khersonisou,20,GR,1567694422,69,35.32,25.39,82,14.99
56,Port Elizabeth,90,US,1567694424,64,39.31,-74.98,75,12.75
57,Tasiilaq,75,GL,1567694425,61,65.61,-37.64,48.2,4.7
58,Port Alfred,100,ZA,1567694427,69,-33.59,26.89,60.01,4
61,Vila Velha,40,BR,1567694428,55,-3.71,-38.6,86,20.8
62,Barrow,100,AR,1567694430,51,-38.31,-60.23,45.59,9.01
63,Gamba,91,CN,1567694431,63,28.28,88.52,48.47,4.79
64,Cap Malheureux,20,MU,1567694432,69,-19.98,57.61,75.2,5.82
66,Moose Factory,1,CA,1567694434,81,51.26,-80.61,48.2,6.93
67,Ca Mau,6,VN,1567694435,87,9.18,105.15,79.25,6.24
68,Lata,100,IN,1567694436,97,30.78,78.62,47.57,2.82
69,Kavieng,100,PG,1567694438,78,-2.57,150.8,80.33,8.01
70,Taltal,2,CL,1567694152,70,-25.41,-70.49,55.49,6.29
71,Bilma,0,NE,1567694324,12,18.69,12.92,105.71,6.22
72,Toamasina,20,MG,1567694441,73,-18.17,49.38,75.2,5.82
73,Saldanha,0,PT,1567694443,23,41.42,-6.55,78.89,13.18
74,Pimentel,45,BR,1567694444,50,-3.7,-45.5,90.41,6.82
75,Klaksvik,75,FO,1567694445,93,62.23,-6.59,48.2,10.94
77,Enshi,1,CN,1567694447,92,30.29,109.48,62.15,3.51
78,Vaini,75,IN,1567694448,94,15.34,74.49,71.6,11.41
79,Hithadhoo,98,MV,1567694449,79,-0.6,73.08,83.39,13.76
80,Hofn,90,IS,1567694450,81,64.25,-15.21,50,3.36
81,Bose,75,IT,1567694452,60,45.46,8.01,81,5.82
83,Honningsvag,100,NO,1567694453,83,70.98,25.97,48.47,7.29
84,Yellowknife,90,CA,1567694247,100,62.45,-114.38,46.4,6.93
85,Bay Roberts,75,CA,1567694361,83,47.58,-53.28,73,18.34
86,Azua,20,DO,1567694221,66,18.45,-70.73,89.6,6.93
87,Lavrentiya,83,RU,1567694458,97,65.58,-170.99,42.71,6.96
89,Tuatapere,93,NZ,1567694460,92,-46.13,167.69,46,3
90,Wairoa,100,NZ,1567694461,88,-39.04,177.43,54,5.01
91,Upernavik,96,GL,1567694295,86,72.79,-56.15,41.63,10.49
92,Khatanga,100,RU,1567694463,94,71.98,102.47,51.17,16.33
93,Talnakh,75,RU,1567694465,93,69.49,88.39,50,13.42
94,Coihaique,90,CL,1567694466,63,-45.58,-72.07,41,4.7
95,Ushuaia,0,AR,1567694467,69,-54.81,-68.31,39.2,5.82
96,Ivankiv,0,UA,1567694469,40,50.93,29.9,71.6,6.71
97,Pangody,63,RU,1567694470,71,65.85,74.49,54.23,9.91
98,Kodiak,1,US,1567694472,77,39.95,-94.76,73,9.17
99,Grindavik,75,IS,1567694473,87,63.84,-22.43,51.8,4.7
100,Iqaluit,90,CA,1567694474,65,63.75,-68.52,46.4,3.36
101,Mar del Plata,69,AR,1567694476,52,-46.43,-67.52,39.29,13.15
102,Kruisfontein,92,ZA,1567694477,69,-34,24.73,54.95,13.47
103,Khani,40,GE,1567694478,69,41.96,42.96,80.6,11.41
104,Taiyuan,0,CN,1567694480,43,37.86,112.56,73.4,6.71
105,Mount Isa,0,AU,1567694481,30,-20.73,139.49,59,12.5
107,Makakilo City,75,US,1567694482,69,21.35,-158.09,82.4,8.05
108,Saskylakh,100,RU,1567694484,65,71.97,114.09,39.11,12.77
109,Niltepec,62,MX,1567694485,58,16.57,-94.62,85.91,5.03
110,Nanortalik,100,GL,1567694486,76,60.14,-45.24,42.71,5.01
111,Chuy,78,UY,1567694487,58,-33.69,-53.46,49.01,6.15
112,Fonte Boa,0,BR,1567694396,63,-2.51,-66.09,85.91,2.21
113,Luganville,16,VU,1567694490,88,-15.51,167.18,61.79,1.01
114,Catio,4,GW,1567694491,78,11.28,-15.25,82.13,12.84
115,Thunder Bay,90,CA,1567694493,93,48.41,-89.26,60.01,3.36
116,Ostrovnoy,67,RU,1567694494,75,68.05,39.51,57.83,17.16
117,Chicama,90,PE,1567694495,88,-7.84,-79.15,62.6,8.05
118,Basco,90,US,1567694497,88,40.33,-91.2,69.01,5.82
120,Tapiramuta,85,BR,1567694498,47,-11.85,-40.79,79.25,8.16
121,Nyagan,100,RU,1567694499,73,62.14,65.43,54.77,4.27
122,Dikson,100,RU,1567694501,99,73.51,80.55,42.71,3.87
123,Chimbote,100,PE,1567694502,90,-9.08,-78.59,60.17,8.37
124,Husavik,35,CA,1567694503,93,50.56,-96.99,60.01,5.99
125,Khorol,74,UA,1567694505,45,49.78,33.27,76.37,2.84
126,Serov,0,RU,1567694506,92,59.61,60.57,49.55,1.34
127,East London,100,ZA,1567694507,76,-33.02,27.91,54.05,5.46
128,Monrovia,75,LR,1567694460,74,6.33,-10.8,84.2,6.93
129,Kavaratti,46,IN,1567694510,82,10.57,72.64,82.67,19.37
130,Kahului,1,US,1567694511,78,20.89,-156.47,78.8,12.75
132,Cidreira,86,BR,1567694513,50,-30.17,-50.22,58.55,8.16
133,Atuona,0,PF,1567694514,76,-9.8,-139.03,78.35,13.91
134,Geraldton,90,CA,1567694516,93,49.72,-86.95,50,9.17
135,Esperance,100,AU,1567694517,65,-33.86,121.89,44.6,3.36
136,Udachnyy,90,RU,1567694291,100,66.42,112.4,37.4,4.47
137,Northam,0,AU,1567694520,75,-31.65,116.67,44.6,4.09
138,Bagdarin,86,RU,1567694521,93,54.44,113.59,49.55,2.66
139,Chara,20,GR,1567694522,35,39.42,22.43,86,14.99
140,Yulara,0,AU,1567694524,39,-25.24,130.99,66.2,12.75
141,Hambantota,20,LK,1567694525,100,6.12,81.12,80.6,6.93
142,Port Hedland,3,AU,1567694527,82,-20.31,118.58,66.2,5.82
143,Zhigansk,25,RU,1567694353,92,66.77,123.37,40.19,6.98
144,Spring Valley,40,US,1567694309,82,41.33,-89.2,66,5.06
145,Cabo San Lucas,40,MX,1567694524,69,22.89,-109.91,84.99,6.51
146,Nioaque,67,BR,1567694532,32,-21.16,-55.83,93.11,4.34
147,Belyy Yar,79,RU,1567694533,87,53.6,91.39,48.2,2.24
148,Coquimbo,90,CL,1567694489,71,-29.95,-71.34,55.4,2.24
149,Bambous Virieux,20,MU,1567694536,69,-20.34,57.76,75.2,5.82
150,Tefe,90,BR,1567694537,94,-3.35,-64.71,73.4,3.36
151,Ponta do Sol,0,BR,1567694539,35,-20.63,-46,85.01,9.48
152,Kraslava,1,LV,1567694540,66,55.9,27.16,67.55,7.07
153,Ambon,0,FR,1567694541,55,47.55,-2.56,68,10.29
154,Norman Wells,90,CA,1567694543,100,65.28,-126.83,48.2,3.36
155,Ekimchan,100,RU,1567694544,97,53.07,132.94,50.27,1.52
156,Poum,40,MK,1567694545,38,41.28,20.71,77,3.36
157,Poso,63,ID,1567694547,97,-1.4,120.75,61.61,2.48
158,Catalina,90,PE,1567694548,30,-13.57,-76.13,71.6,5.82
159,Arraial do Cabo,75,BR,1567694549,100,-22.97,-42.02,68,8.05
160,Adrar,0,DZ,1567694551,16,27.87,-0.29,104,5.82
161,Mahebourg,20,MU,1567694552,69,-20.41,57.7,75.2,5.82
162,Nioro,19,GM,1567694553,60,13.79,-15.05,89.87,6.85
163,Pemberton,0,AU,1567694554,88,-34.44,116.03,41,2.48
164,SriramPur,20,BD,1567694556,79,23.92,90.13,86,9.17
165,Qasigiannguit,75,GL,1567694557,52,68.82,-51.19,46.4,8.05
166,Ouadda,96,CF,1567694558,92,8.07,22.4,72.23,4
167,Vestmannaeyjar,90,IS,1567694560,100,63.44,-20.27,50,17.22
168,Kieta,100,PG,1567694561,78,-6.22,155.63,76.73,10.04
169,Santa Rosa,100,AR,1567694562,39,-36.62,-64.29,49.19,18.41
170,Helong,0,CN,1567694563,93,25.94,116.13,74.21,2.89
172,Zatoka,20,PL,1567694565,44,50.04,20.52,75.2,5.82
173,Carnarvon,3,ZA,1567694566,20,-30.97,22.13,68.63,12.5
174,Burdur,75,TR,1567694567,37,37.72,30.29,84.2,9.17
175,Caravelas,36,BR,1567694569,68,-17.73,-39.27,76.55,7.81
176,Navahrudak,0,BY,1567694570,63,53.59,25.82,68.27,5.75
177,Nishihara,40,JP,1567694571,88,35.74,139.53,81,3.36
178,Pochutla,20,MX,1567694572,74,15.74,-96.47,84,2.1
179,Bria,39,CF,1567694574,92,6.54,21.99,76.19,3.69
180,Khudumelapye,48,BW,1567694575,10,-23.91,24.95,87.53,6.55
181,Hamilton,20,CA,1567694487,63,43.26,-79.87,69.01,2.24
182,San Cristobal,48,HN,1567694578,52,14.68,-86.92,79.79,7.02
183,Tskaltubo,40,GE,1567694579,69,42.33,42.6,80.6,11.41
184,Sabha,0,LY,1567694580,16,27.03,14.43,95.99,4.27
186,Halifax,90,CA,1567694328,72,44.65,-63.58,72,17.22
187,Katsuura,75,JP,1567694583,88,33.93,134.5,78.8,6.93
190,Saint-Philippe,1,CA,1567694584,67,45.36,-73.48,64.99,6.93
191,Butaritari,16,KI,1567694586,73,3.07,172.79,84.47,9.08
192,Ahome,90,MX,1567694587,78,25.92,-109.18,82.4,6.93
193,Guerrero Negro,0,MX,1567694588,84,27.97,-114.04,72.05,1.05
194,Vung Tau,34,VN,1567694343,80,10.35,107.08,79.79,12.3
196,Souillac,0,FR,1567694591,40,45.6,-0.6,71.01,11.41
198,Ahipara,70,NZ,1567694328,72,-35.17,173.16,56.93,29.19
199,Jalu,0,LY,1567694594,23,29.03,21.55,94.91,12.64
200,Tiksi,99,RU,1567694595,86,71.64,128.87,40.91,5.75
201,San Patricio,100,PY,1567694596,51,-26.98,-56.83,61.25,7.2
202,Torbay,75,CA,1567694598,83,47.66,-52.73,73,18.34
204,Qaanaaq,24,GL,1567694599,52,77.48,-69.36,31.73,7.47
205,Pevek,54,RU,1567694600,77,69.7,170.27,42.89,6.78
206,Pacific Grove,90,US,1567694602,87,36.62,-121.92,63,4.7
207,Hasaki,75,JP,1567694603,100,35.73,140.83,75.2,1.12
208,Erice,20,IT,1567694604,83,38.04,12.59,80.6,13.87
210,Manavalakurichi,75,IN,1567694606,83,8.13,77.3,82.4,6.93
211,Matara,99,BI,1567694607,54,-3.48,29.48,62.51,2.71
212,Wahpeton,0,US,1567694489,77,46.27,-96.61,69.01,10.29
213,Revda,100,RU,1567694610,80,67.94,34.55,53.51,9.51
214,Mersing,0,MY,1567694611,93,2.43,103.84,74.75,1.95
216,Saint-Georges,0,CA,1567694612,75,46.12,-70.67,59,1.99
217,Constitucion,90,MX,1567694531,100,23.99,-104.67,63,4.7
218,Kindu,100,CD,1567694615,46,-2.95,25.92,86.09,1.14
219,Santa Cruz del Sur,2,CU,1567694616,61,20.71,-78,88.07,6.44
221,Praia da Vitoria,75,PT,1567694618,83,38.73,-27.07,71.6,20.76
222,Rawson,100,AR,1567694619,81,-43.3,-65.11,38.21,12.95
223,Yuzhno-Kurilsk,100,RU,1567694620,92,44.03,145.86,62.87,15.12
224,Carhuaz,50,PE,1567694621,38,-9.28,-77.65,70.07,7.34
225,Big Spring,1,US,1567694623,57,32.25,-101.48,78.01,9.17
226,Chase,1,US,1567694624,65,38.35,-98.35,82,12.75
227,Dharchula,82,IN,1567694625,95,29.85,80.53,56.03,0.87
228,Amboasary,20,MG,1567694627,61,-25.04,46.38,78.8,18.34
229,Talaja,40,IN,1567694628,79,21.35,72.04,86,6.93
230,San Rafael,64,AR,1567694629,40,-34.61,-68.33,45.05,5.28
231,Auxerre,75,FR,1567694631,42,47.8,3.58,69.01,10.29
232,Seydisehir,70,TR,1567694632,48,37.42,31.85,73.49,1.88
233,Quatre Cocos,20,MU,1567694633,69,-20.21,57.76,75.2,5.82
234,Boguchany,92,RU,1567694635,95,58.38,97.46,47.75,4.7
235,Vao,97,EE,1567694636,57,59.1,26.19,69.35,10.33
236,Asyut,0,EG,1567694637,29,27.18,31.19,98.6,13.87
238,Harper,1,US,1567694639,69,30.3,-99.24,82,10.42
239,Palmer,75,AU,1567694348,66,-34.85,139.16,54,23.04
240,Camacha,40,PT,1567694359,73,33.08,-16.33,77,14.99
241,Bethel,90,US,1567694643,93,60.79,-161.76,51.8,11.41
242,Tura,9,RU,1567694644,75,64.27,100.22,34.97,2.35
243,Padang,0,ID,1567694645,85,-0.92,100.36,81.77,18.52
246,High Level,20,CA,1567694647,100,58.52,-117.13,48.2,3.36
247,Puerto Ayora,75,EC,1567694648,78,-0.74,-90.35,71.6,11.41
248,Lorengau,100,PG,1567694650,82,-2.02,147.27,78.35,7.09
249,Lagoa,20,PT,1567694651,54,37.14,-8.45,87.01,8.05
251,Castro,0,CL,1567694373,65,-42.48,-73.76,46.4,2.24
252,Clearwater,1,US,1567694448,79,27.97,-82.8,91,10.29
253,Narsaq,75,GL,1567694655,55,60.91,-46.05,48.2,3.36
254,Kwinana,0,AU,1567694656,81,-32.25,115.77,48.99,8.08
255,Disraeli,20,CA,1567694657,76,45.9,-71.36,62.01,2.24
256,Tres Arroyos,100,AR,1567694659,51,-38.38,-60.28,45.59,9.01
257,Thompson,75,CA,1567694660,81,55.74,-97.86,42.8,4.7
258,Lebu,99,ET,1567694661,80,8.96,38.73,62.33,2.75
259,Broken Hill,0,AU,1567694663,44,-31.97,141.45,59,18.34
260,Saint George,20,GR,1567694664,35,39.45,22.34,86,14.99
261,Venado Tuerto,100,AR,1567694665,50,-33.75,-61.97,48.99,13
262,Abha,75,SA,1567694666,9,18.22,42.5,89.6,19.46
263,Cuenca,90,EC,1567694668,72,-2.9,-79,59,4.7
264,Sinnamary,31,GF,1567694669,74,5.38,-52.96,83.03,18.19
265,Hay River,90,CA,1567694670,93,60.82,-115.79,51.8,13.87
267,Kodinsk,90,RU,1567694672,96,58.6,99.18,45.05,4.7
268,Hobyo,1,SO,1567694673,74,5.35,48.53,78.89,26.96
270,Acari,2,BR,1567694675,30,-6.44,-36.64,92.93,13.35
271,Warrnambool,0,AU,1567694676,100,-38.38,142.48,51.01,15.88
272,Trincomalee,72,LK,1567694677,69,8.58,81.23,81.59,9.04
273,Senanga,0,ZM,1567694679,9,-16.1,23.3,94.19,3.98
274,Vostok,0,RU,1567694680,94,46.45,135.83,60.17,3.96
275,Sioux Lookout,90,CA,1567694681,93,50.1,-91.92,55.4,3.36
276,Bogotol,0,RU,1567694683,90,56.21,89.53,48.11,3.85
277,Port Hardy,90,CA,1567694684,100,50.7,-127.42,51.8,3.36
278,Isangel,63,VU,1567694685,73,-19.55,169.27,69.17,17.2
279,Surovikino,0,RU,1567694687,28,48.61,42.84,72.23,7.63
280,Dukat,0,AL,1567694688,45,40.25,19.57,82.99,5.99
281,Chagoda,84,RU,1567694689,71,59.16,35.33,62.33,4.79
282,Neubrandenburg,0,DE,1567694691,49,53.56,13.26,69.01,23.04
283,Bud,40,NO,1567694692,62,62.91,6.91,55.4,11.41
284,Yongchang,76,CN,1567694693,45,38.06,102.59,68.81,4.52
287,Lugovskoy,0,RU,1567694695,76,56.96,64.53,55.4,4.47
288,Marsh Harbour,63,BS,1567694696,78,26.54,-77.06,84.47,18.68
289,Atbasar,100,KZ,1567694697,89,51.81,68.36,49.19,17.43
290,Wenling,0,CN,1567694699,60,28.38,121.38,84,4.12
292,Hammerfest,75,NO,1567694700,81,70.66,23.68,53.6,12.75
293,Panama City,1,US,1567694627,66,30.16,-85.65,89.01,8.05
294,Hauterive,75,CA,1567694703,76,49.18,-68.27,57.2,24.16
295,Borba,0,BR,1567694704,42,-4.39,-59.59,95.45,4.45
296,Nouadhibou,47,MR,1567694706,46,20.93,-17.03,91.4,8.05
298,Guiyang,20,CN,1567694707,78,26.58,106.71,71.6,4.47
300,Ofaqim,0,IL,1567694709,31,31.31,34.62,87.01,3
302,Miramar,20,CR,1567694711,69,10.09,-84.73,75.2,4.7
303,Provideniya,50,RU,1567694712,95,64.42,-173.23,41.27,1.03
304,Verkhoyansk,100,RU,1567694713,84,67.55,133.39,42.35,1.92
305,Bara,41,NG,1567694715,62,10.41,10.6,86.63,8.55
306,Pahrump,75,US,1567694716,29,36.21,-115.98,87.01,4.7
307,Russell,1,US,1567694717,69,38.9,-98.86,82,13.87
308,Mountain Home,1,US,1567694718,52,43.13,-115.69,78.01,5.82
309,Xinzhi,75,TW,1567694720,79,22.54,120.62,84.2,2.24
310,Pedro Juan Caballero,84,PY,1567694721,57,-22.55,-55.74,75.2,9.17
311,Zapolyarnyy,0,RU,1567694722,47,69.43,30.82,59,8.05
312,Jacareacanga,75,BR,1567694724,78,-6.22,-57.76,80.6,6.93
313,Aguas Vermelhas,0,BR,1567694725,27,-15.75,-41.46,83.21,9.75
314,Shimoda,100,JP,1567694726,93,34.7,138.93,77,3.71
315,Cayenne,20,GF,1567694728,58,4.94,-52.33,87.8,10.29
316,Dondo,20,MZ,1567694729,57,-19.62,34.74,78.8,9.17
317,Aiquile,55,BO,1567694730,51,-18.2,-65.18,62.33,3.47
318,Tucuman,65,PE,1567694732,22,-17.17,-70.89,71.69,9.06
319,Hurricane,1,US,1567694733,41,37.18,-113.29,80.01,1.52
320,Ozernovskiy,100,RU,1567694734,92,51.5,156.52,49.19,10.49
321,Maningrida,0,AU,1567694735,87,-12.05,134.23,69.53,7.43
322,Hirara,100,JP,1567694734,84,24.8,125.28,82.49,52.55
323,Gainesville,1,US,1567694442,66,29.65,-82.33,88,9.17
324,Mwinilunga,78,ZM,1567694739,10,-11.73,24.43,90.23,5.12
325,Oga,75,IT,1567694740,81,46.46,10.35,50,18.34
326,Nemuro,100,JP,1567694742,91,43.32,145.57,63.41,13.09
327,Antofagasta,75,CL,1567694743,71,-23.65,-70.4,70,6.93
328,North Bend,90,US,1567694662,100,43.41,-124.22,61,3.36
329,Mnogovershinnyy,72,RU,1567694745,79,53.94,139.92,45.77,3.02
330,Chokurdakh,64,RU,1567694747,94,70.62,147.9,32.99,7.96
331,Buchanan,75,LR,1567694748,74,5.88,-10.05,84.2,6.93
332,Gazojak,0,TM,1567694749,24,41.19,61.4,68.99,12.62
333,Aykhal,90,RU,1567694751,100,65.95,111.51,37.4,4.47
334,Mareeba,0,AU,1567694752,76,-16.99,145.42,61,3.89
335,Wajid,100,SO,1567694753,41,3.81,43.25,87.17,18.95
336,Banikoara,90,BJ,1567694755,52,11.3,2.44,90.59,3.42
337,Ballina,75,IE,1567694756,67,54.11,-9.15,62.01,18.34
338,Hami,88,CN,1567694757,21,42.84,93.51,79.97,20.29
339,Orchard Homes,1,US,1567694758,66,46.86,-114.05,51.8,2.1
340,Oranjemund,0,ZA,1567694760,85,-28.55,16.43,56.75,17.22
342,Havoysund,75,NO,1567694761,81,71,24.66,50,12.75
343,Peniche,0,PT,1567694763,35,39.36,-9.38,95,11.41
344,Broome,20,GB,1567694764,38,52.47,1.45,66.99,12.75
345,Springfield,1,US,1567694765,83,37.22,-93.29,80.01,6.93
346,Goya,70,AR,1567694766,45,-29.14,-59.27,59.81,12.17
347,Bafq,0,IR,1567694768,14,31.6,55.4,83.03,9.55
348,Muli,0,CN,1567694769,81,28.08,109.56,70.07,4.94
349,Lubango,0,AO,1567694675,9,-14.92,13.49,87.8,10.29
351,Lodja,56,CD,1567694772,35,-3.52,23.6,92.39,2.04
352,Pesaro,0,IT,1567694773,53,43.91,12.91,81,8.05
353,Sao Filipe,87,CV,1567694774,84,14.9,-24.5,79.25,13.11
354,Koslan,90,RU,1567694776,96,63.46,48.9,54.23,1.63
355,Sobolevo,0,RU,1567694777,68,54.43,31.9,64.85,3.85
356,Vanavara,7,RU,1567694779,85,60.35,102.28,36.77,5.35
357,Colomi,40,BO,1567694780,52,-17.34,-65.87,66.2,2.3
358,Taoudenni,65,ML,1567694781,11,22.68,-3.98,110.93,9.57
359,Merritt,1,CA,1567694690,87,50.11,-120.79,55.4,1.3
360,Meschede,20,DE,1567694784,62,51.34,8.29,63,11.41
361,Hovd,75,NO,1567694785,87,63.83,10.7,54,21.92
362,Smithfield,1,US,1567694786,59,41.92,-71.55,68,8.05
363,Gezing,75,AT,1567694788,77,47.92,13.13,66.99,9.17
364,Ingham,0,AU,1567694792,28,-18.65,146.16,57.83,2.84
365,Keningau,75,MY,1567694793,83,5.33,116.16,84.2,3.36
366,Avera,1,US,1567694795,74,33.19,-82.53,84,14.99
367,Tulum,40,MX,1567694796,74,20.21,-87.46,90,5.82
368,Berlevag,0,NO,1567694797,71,70.86,29.09,51.8,10.29
369,Nurmahal,0,IN,1567694799,68,31.1,75.6,84.47,7.34
370,Key West,75,US,1567694655,88,47.93,-96.78,64.99,11.41
371,Bilgoraj,0,PL,1567694801,41,50.54,22.72,77,3.36
372,Rio Gallegos,0,AR,1567694691,33,-51.62,-69.22,44.6,8.05
373,Aksay,94,KZ,1567694804,49,51.17,53.01,62.87,4.63
374,Tazovskiy,100,RU,1567694805,78,67.47,78.7,50.63,9.71
375,Tonantins,39,BR,1567694806,52,-2.86,-67.77,91.31,3.87
376,Rantepao,94,ID,1567694807,97,-2.97,119.9,58.55,1.97
377,Mitu,0,IR,1567694809,13,36.2,46.09,79.07,14.94
378,Katangli,97,RU,1567694810,96,51.71,143.23,56.21,6.38
379,Marystown,82,CA,1567694811,96,47.17,-55.16,64.49,19.66
380,Bonnyville,75,CA,1567694813,87,54.27,-110.74,55.4,6.93
381,Ambulu,100,ID,1567694814,89,-8.35,113.61,74.39,10.67
382,Kargil,0,PK,1567694815,35,34.56,76.13,58.01,9.53
383,Barra do Bugres,0,BR,1567694816,21,-15.07,-57.19,102.83,4.61
384,Tautira,0,PF,1567694818,83,-17.73,-149.15,73.4,5.82
385,Oktyabrskoye,0,RU,1567694819,87,56.73,85.44,50,2.24
386,Celestun,0,MX,1567694820,80,20.87,-90.4,80.15,6.71
387,Kaka,0,TM,1567694822,24,37.35,59.62,78.53,10
388,Brownsville,1,US,1567694596,83,25.91,-97.49,86,2.51
389,Riyadh,66,SA,1567694595,16,24.63,46.72,109.4,4.7
390,Mulege,0,MX,1567694826,66,26.88,-111.98,87.53,0.43
391,Mandalgovi,100,MN,1567694827,44,45.76,106.27,66.47,5.57
392,Shankargarh,100,IN,1567694828,71,25.19,81.61,86.63,6.85
393,Constantine,40,DZ,1567694830,37,36.36,6.61,82.4,6.93
394,Tabora,1,TZ,1567694831,15,-5.02,32.81,91.31,2.59
395,Genhe,8,CN,1567694832,98,50.78,121.52,51.17,2.82
397,Longyearbyen,0,NO,1567694834,69,78.22,15.63,33.8,3.36
399,Itarema,82,BR,1567694836,44,-2.92,-39.92,90.95,11.61
402,Santa Lucia,20,IT,1567694837,32,41.98,12.66,87.8,2.24
403,Bubaque,6,GW,1567694839,79,11.28,-15.83,81.41,11.41
404,Shaoxing,40,CN,1567694840,88,30,120.58,79,8.95
405,Dunedin,100,NZ,1567694841,80,-45.87,170.5,48,21
406,Dingle,87,PH,1567694843,86,11,122.67,74.93,5.37
407,Janakpur,59,NP,1567694844,67,26.73,85.92,85.01,7.07
408,Namatanai,100,PG,1567694845,85,-3.66,152.44,76.91,17.2
409,Aklavik,90,CA,1567694641,100,68.22,-135.01,46.4,5.82
410,Westport,1,US,1567694661,59,41.14,-73.36,69.01,12.75
411,Port Keats,0,AU,1567694849,87,-14.25,129.55,71.33,5.08
412,Luanda,20,AO,1567694851,69,-8.83,13.24,78.8,9.17
413,Methoni,20,GR,1567694855,51,36.82,21.7,84.99,10.29
414,Saint-Francois,75,FR,1567694857,43,46.42,3.91,69.8,11.41
417,Skjervoy,75,NO,1567694858,71,70.03,20.97,53.6,4.7
418,Sao Joao da Barra,90,BR,1567694860,73,-21.64,-41.05,75.2,11.41
419,Oistins,40,BB,1567694837,70,13.07,-59.53,87.8,11.41
420,Cherskiy,10,RU,1567694862,68,68.75,161.3,40.37,7.16
421,Ambilobe,26,MG,1567694864,79,-13.19,49.05,75.29,6.24
422,Mercedes,74,UY,1567694865,50,-33.25,-58.03,50,11.01
